year,age,males,females
2025,0,10046598,9606960
2025,5,8909369,8582428
2025,10,7819587,7570749
2025,15,7506612,7308247
2025,20,6855759,6757098
2025,25,5856487,5800435
2025,30,4893934,4859161
2025,35,3863269,3854739
2025,40,2934332,2953275
2025,45,2452088,2524581
2025,50,1938085,2101114
2025,55,1587153,1787025
2025,60,1228879,1409284
2025,65,848649,997338
2025,70,550321,672801
2025,75,347480,454267
2025,80,167824,239868
2025,85,57062,91094
2025,90,11445,22333
2025,95,1115,2959
2025,100,50,183
2050,0,11948443,11419358
2050,5,11513301,11047666
2050,10,11034941,10627489
2050,15,10754686,10397650
2050,20,10746865,10460607
2050,25,10157159,9943041
2050,30,8809326,8686628
2050,35,7512376,7464607
2050,40,6950676,6985430
2050,45,5954411,6079799
2050,50,4887304,5059972
2050,55,4001259,4219918
2050,60,3026417,3279402
2050,65,2107526,2382263
2050,70,1520773,1841899
2050,75,934322,1270914
2050,80,502058,776790
2050,85,195813,348848
2050,90,44928,102390
2050,95,5326,17342
2050,100,331,1609
2075,0,12386458,11775932
2075,5,12332345,11739171
2075,10,12283753,11717542
2075,15,12310525,11783427
2075,20,12714981,12256311
2075,25,12438553,12042883
2075,30,11637150,11308689
2075,35,10835006,10591838
2075,40,10220032,10069373
2075,45,9599723,9551015
2075,50,8812832,8896192
2075,55,7561930,7798173
2075,60,6271017,6644089
2075,65,5462283,6028612
2075,70,4186732,4888729
2075,75,2823770,3548231
2075,80,1652071,2306396
2075,85,707597,1151413
2075,90,187453,399516
2075,95,29595,93373
2075,100,2112,10990
2100,0,11919633,11301956
2100,5,12048553,11416046
2100,10,12154692,11517415
2100,15,12384042,11757594
2100,20,13156060,12548380
2100,25,13235379,12637413
2100,30,12765575,12191418
2100,35,12350623,11830788
2100,40,11989762,11549888
2100,45,11587897,11255877
2100,50,11049644,10858817
2100,55,10352217,10329866
2100,60,9525820,9698996
2100,65,8650595,9060894
2100,70,7537565,8202513
2100,75,6034769,6946521
2100,80,4052313,5072388
2100,85,2155188,3058578
2100,90,858484,1527638
2100,95,181468,450430
2100,100,17615,68276
